"","CTRL_1","CTRL_2","CTRL_3","EXPD4_1","EXPD4_2","EXPD4_3","TPA_1","TPA_2"
"1500002K03Rik",3.72720601045564,3.42965332957098,2.95790941436913,3.53944875389084,2.93746614235087,2.82160588558797,2.9795088656932,3.08828292787671
"1500002O10Rik",4.27926645145814,4.37336272078571,4.31435973216911,4.28044789449197,4.04744159322315,4.02895764029236,3.97723576125,4.16703566190132
"1500002O20Rik",6.8697927287389,6.29740568676914,6.18047163644075,6.269209781785,5.88369238582621,5.62233497733068,6.18721336824102,5.934694970735
"1500003O03Rik",7.16913186244826,7.37750807533622,7.56940727787892,7.28503228659723,7.5501641709,7.45578716421026,7.48881029836004,7.33175690257082
"1500004A13Rik",4.63074301844089,5.31099214620617,5.06300085532614,4.77285199666008,5.36704115049014,5.05242990546349,4.44496579583821,5.62766589039438
"1500004F05Rik",5.3681131488707,5.10551384079106,4.79042561564323,4.98771879906546,4.67621589136336,4.682565356821,4.77819564841693,5.23326974640768
"1500005C15Rik",5.53108879614305,5.89213711109573,5.28989568593777,5.18697816982466,5.16687271998283,5.00732546511215,4.97213433694967,5.05187853076098
"1500009C09Rik",3.73643140768277,3.53414354100786,3.09682194242068,3.37751983992386,3.05771182066516,2.94688477483855,3.20465587526393,3.2389408121103
"1500009L16Rik",3.34179562089945,3.79120995784516,3.01495886123439,3.5593110329125,2.67550683784195,2.90928814810558,2.94565369843367,2.91638650307683
"1500010J02Rik",5.05547098955426,4.83268820713999,5.27026232850138,4.89741042324172,5.10791401781417,5.68164365517847,5.57644418417041,5.89347174162039
"1500011B03Rik",5.21183564964307,5.31461877615838,5.68942925600257,4.87311319127372,5.56914011128622,5.98941180093611,5.60224813129449,5.36789540642831
"1500011H22Rik",4.53067377532116,4.70029945777735,5.15686538282744,4.19492272933151,4.66190226572818,4.44365783189253,5.24545779520375,5.47786541706428
"1500011K16Rik",9.10022328010127,7.36374503578178,9.07503354767118,8.29697137323044,9.31022915365929,9.19327114343708,8.78758360859051,8.5431032003581
"1500012F01Rik",6.65065563752981,5.85914878627254,7.03717425857269,6.84751053651579,7.3049194075969,7.84644431420936,7.26639212191238,7.33827164240962
