ENTREZID	log2FoldChange
27388	1.18015243419654
27388	1.15339025724141
64292	1.54887395996438
19229	1.49596728899026
19244	1.40339377936192
19244	1.32786199225045
19255	1.08397839095616
19267	2.16076389930125
19271	3.49582319327097
19283	1.58146948782524
19303	1.53239842795331
69051	1.16426604345418
110391	2.03128995197061
60507	1.41760970362391
53869	1.20460370404459
19336	1.13038968845854
106572	3.76548356816358
106572	3.76269079807451
235442	1.88128433051786
56715	1.29073864351585
58186	1.78446810170469
19357	1.48162780898889
19359	1.32725254420071
19385	1.65549848856627
71810	1.08592344751786
114713	1.30822585406348
245688	1.44734164922101
19652	1.64447517290075
245945	1.18410627576646
56878	1.21896672213249
227656	1.13056449018722
19718	1.12938417719133
54391	2.48925842404902
19719	1.12573188415263
58175	1.94156945068468
71340	1.51230343361047
19820	1.81970550401733
19820	2.13504039898566
67150	1.48920686930525
67150	1.87393033329154
213211	1.59813179266444
27050	2.37482691030593
20111	1.08364295959707
56613	2.23149651939437
58988	1.22997604994125
58988	1.22997604994125
68441	2.19328018873304
66922	2.78690496923541
81910	2.47636591249743
20135	2.67539722862637
20174	1.40566254778607
20198	1.23218337317404
56459	1.52486046513643
20229	1.55072876807556
216161	1.85573908978172
216161	1.24241647843033
216161	1.3362750994036
30953	1.39207288755978
74617	1.12757095347973
53378	1.72523997720389
64136	1.56930461890411
207352	1.8736787589934
53421	1.32990463322079
53421	1.21776637140127
53421	2.34984314707298
53421	1.47804011973673
140740	1.31580787974053
140740	1.39945877829839
20768	1.48940703984852
20768	1.86241369079
18000	1.38452219199773
18000	1.38452219199773
235072	1.09128603189332
56442	1.30675989202661
230779	1.51528708402793
28146	2.15494014900949
66222	3.60963034571944
20719	1.38336949112412
56086	1.15450723004089
319322	1.03487592254477
55948	1.4857048426753
106489	1.19123499167596
20416	1.58996238246683
66940	1.04060637279835
20499	1.49416876062492
20501	2.52614978178039
116914	1.27300493171555
116914	2.18307539669901
20514	1.00948892622075
20515	2.35572486644237
68066	1.78096252163421
68066	1.36707528774232
11740	1.09542799012568
20525	1.06076840695009
66500	1.13025746170864
228368	1.21374917892089
270066	1.41306769270307
213053	1.01246091187573
269356	1.61524580215468
218756	2.58020937239613
11987	1.48194476906109
70099	1.54152301392437
67241	1.26586573346203
228608	2.05322795532555
226830	1.12741489161976
20621	2.00083348556443
78372	1.42483443684358
66585	1.7691231045454
66585	1.7691231045454
20639	1.44289902613331
20641	2.41203878984334
69178	1.88682459631776
12702	3.61121327067023
12702	3.13459692259987
12702	1.72090957495791
20655	1.00594282564922
20656	2.21982988633641
81840	3.34547739214837
20670	1.38894669998928
20692	1.50099401027389
76687	1.02795076746301
20751	1.58086139994031
24064	1.85360190283856
66701	1.74629869766162
20779	1.20061891661531
67398	1.37778989913423
231637	3.57240966172555
20833	1.40365309624274
20444	2.15117757621385
20444	1.23015066782696
20846	1.54985816556241
13830	1.33495462147656
20901	1.94661380774429
20024	1.58377202742013
20932	1.4222571621536
20932	1.35005686470666
20932	1.54591223064733
20932	1.62680043380769
20937	1.44161744773312
52615	1.26859146788983
19027	1.55977964014943
66460	1.09422751374684
